Nr. NCSS CCN JVDC Function
  1    3   1    0 ds.TabelaHash.Celula.Celula(String,Object)
  2    3   1    0 ds.TabelaHash.Celula.equals(Object)
  3    2   1    0 ds.TabelaHash.Celula.toString()
  4    6   2    0 ds.TabelaHash.geraPesos(int)
  5    5   2    0 ds.TabelaHash.h(String,String[])
  6    8   2    0 ds.TabelaHash.TabelaHash()
  7   10   5    0 ds.TabelaHash.pesquisa(String)
  8    6   2    0 ds.TabelaHash.insere(String,Object)
  9    5   2    0 ds.TabelaHash.retira(String)
 10    5   3    0 ds.TabelaHash.imprime()
Average Function NCSS:       5.30
Average Function CCN:        2.10
Average Function JVDC:       0.00
Program NCSS:               61.00
