AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,8,KILLED,ds.Evo.test1(ds.Evo)
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,antecessor,37,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,imprime,41,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,imprime,41,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,imprime,41,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,imprime,41,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,imprime,42,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutator,imprime,40,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,obterAgm,14,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,obterAgm,29,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,obterAgm,21,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,obterAgm,14,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,12,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,14,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,15,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,16,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,17,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,18,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,20,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,obterAgm,24,NO_COVERAGE,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,obterAgm,12,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,obterAgm,17,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,obterAgm,14,SURVIVED,none
AgmPrim.java,ds.AgmPrim,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,obterAgm,23,NO_COVERAGE,none
