PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;9;14;64%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;48;62;77%
05Ordenacao;ds.Ordenacao;10;10;100%;13;20;65%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;36;42;86%
09Ordenacao;ds.Ordenacao;16;16;100%;54;56;96%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;24;31;77%
12Lista;ds.Lista;12;12;100%;19;23;83%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;96;139;69%
18FPHeapMax;ds.FPHeapMax;40;40;100%;65;117;56%
19FPHeapMin;ds.FPHeapMin;42;42;100%;82;120;68%
20Tabela;ds.Tabela;21;21;100%;36;57;63%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;85;89;96%
23TabelaHash;ds.TabelaHash;52;52;100%;131;166;79%
24Grafo;ds.Grafo;40;42;95%;100;143;70%
25Grafo;ds.Grafo;34;34;100%;88;109;81%
26Grafo;ds.Grafo;51;51;100%;103;127;81%
27Grafo;ds.Grafo;33;33;100%;86;108;80%
28BuscaEmLargura;ds.Grafo;33;33;100%;86;108;80%
29Grafo;ds.Grafo;33;33;100%;86;108;80%
30Lista;ds.AgmPrim;32;32;100%;33;76;43%
31CasamentoExato;ds.CasamentoExato;40;40;100%;120;205;59%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;86;86;100%
33Identifier;ds.Identifier;22;22;100%;79;114;69%
