PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;49;62;79%
05Ordenacao;ds.Ordenacao;10;10;100%;15;20;75%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;32;42;76%
09Ordenacao;ds.Ordenacao;16;16;100%;34;56;61%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;30;79;38%
11ListArray;ds.Lista;12;12;100%;23;31;74%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;84;139;60%
18FPHeapMax;ds.FPHeapMax;40;40;100%;82;117;70%
19FPHeapMin;ds.FPHeapMin;42;42;100%;87;120;73%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;73;89;82%
23TabelaHash;ds.TabelaHash;52;52;100%;105;166;63%
24Grafo;ds.Grafo;36;42;86%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;72;109;66%
26Grafo;ds.Grafo;50;51;98%;124;127;98%
27Grafo;ds.Grafo;33;33;100%;82;108;76%
28BuscaEmLargura;ds.Grafo;33;33;100%;84;108;78%
29Grafo;ds.Grafo;33;33;100%;84;108;78%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;77;205;38%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;31;86;36%
33Identifier;ds.Identifier;22;22;100%;65;114;57%
