PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;48;62;77%
05Ordenacao;ds.Ordenacao;10;10;100%;13;20;65%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;36;42;86%
09Ordenacao;ds.Ordenacao;16;16;100%;36;56;64%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;22;31;71%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;48;48;100%;95;139;68%
18FPHeapMax;ds.FPHeapMax;40;40;100%;67;117;57%
19FPHeapMin;ds.FPHeapMin;42;42;100%;79;120;66%
20Tabela;ds.Tabela;21;21;100%;35;57;61%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;87;89;98%
23TabelaHash;ds.TabelaHash;52;52;100%;108;166;65%
24Grafo;ds.Grafo;36;42;86%;73;143;51%
25Grafo;ds.Grafo;34;34;100%;83;109;76%
26Grafo;ds.Grafo;51;51;100%;95;127;75%
27Grafo;ds.Grafo;33;33;100%;72;108;67%
28BuscaEmLargura;ds.Grafo;33;33;100%;68;108;63%
29Grafo;ds.Grafo;33;33;100%;84;108;78%
30Lista;ds.AgmPrim;32;32;100%;33;76;43%
31CasamentoExato;ds.CasamentoExato;40;40;100%;117;205;57%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;86;86;100%
33Identifier;ds.Identifier;22;22;100%;92;114;81%
