PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;7;21;33%
03MaxMin;ds.MaxMin2;8;8;100%;7;21;33%
04MaxMin;ds.MaxMin3;16;16;100%;17;62;27%
05Ordenacao;ds.Ordenacao;10;10;100%;8;20;40%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;9;42;21%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;0;14;0%;0;79;0%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;16;23;70%
13Pilha;ds.Pilha;12;12;100%;15;31;48%
14Pilha;ds.Pilha;17;17;100%;17;31;55%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;21;37;57%
17Ordenacao;ds.Ordenacao;48;48;100%;60;139;43%
18FPHeapMax;ds.FPHeapMax;40;40;100%;53;117;45%
19FPHeapMin;ds.FPHeapMin;42;42;100%;55;120;46%
20Tabela;ds.Tabela;21;21;100%;33;57;58%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;71;89;80%
23TabelaHash;ds.TabelaHash;52;52;100%;99;166;60%
24Grafo;ds.Grafo;8;42;19%;10;143;7%
25Grafo;ds.Grafo;34;34;100%;64;109;59%
26Grafo;ds.Grafo;51;51;100%;66;127;52%
27Grafo;ds.Grafo;33;33;100%;65;108;60%
28BuscaEmLargura;ds.Grafo;33;33;100%;65;108;60%
29Grafo;ds.Grafo;33;33;100%;65;108;60%
30Lista;ds.AgmPrim;32;32;100%;23;76;30%
31CasamentoExato;ds.CasamentoExato;40;40;100%;76;205;37%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;85;86;99%
33Identifier;ds.Identifier;22;22;100%;50;114;44%
