PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;11;16;69%;7;62;11%
05Ordenacao;ds.Ordenacao;7;10;70%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;12;42;29%
09Ordenacao;ds.Ordenacao;16;16;100%;22;56;39%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;20;79;25%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;23;31;74%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;18;19;95%;32;43;74%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;30;48;63%;31;139;22%
18FPHeapMax;ds.FPHeapMax;22;40;55%;34;117;29%
19FPHeapMin;ds.FPHeapMin;26;42;62%;35;120;29%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;35;35;100%;70;89;79%
23TabelaHash;ds.TabelaHash;50;52;96%;94;166;57%
24Grafo;ds.Grafo;35;42;83%;74;143;52%
25Grafo;ds.Grafo;30;34;88%;50;109;46%
26Grafo;ds.Grafo;50;51;98%;86;127;68%
27Grafo;ds.Grafo;33;33;100%;67;108;62%
28BuscaEmLargura;ds.Grafo;31;33;94%;66;108;61%
29Grafo;ds.Grafo;33;33;100%;50;108;46%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;110;205;54%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;80;114;70%
