01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;6;8;75%;3;21;14%
03MaxMin;ds.MaxMin2;6;8;75%;3;21;14%
04MaxMin;ds.MaxMin3;11;16;69%;7;61;11%
05Ordenacao;ds.Ordenacao;3;10;30%;2;21;10%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;10;41;24%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;23;75;31%
11ListArray;ds.Lista;10;12;83%;12;29;41%
12Lista;ds.Lista;12;12;100%;12;21;57%
13Pilha;ds.Pilha;11;12;92%;15;27;56%
14Pilha;ds.Pilha;17;17;100%;20;27;74%
15Fila;ds.Fila;14;19;74%;19;40;48%
16Fila;ds.Fila;23;23;100%;24;32;75%
17Ordenacao;ds.Ordenacao;31;48;65%;29;141;21%
18FPHeapMax;ds.FPHeapMax;23;40;58%;20;116;17%
19FPHeapMin;ds.FPHeapMin;25;42;60%;31;120;26%
20Tabela;ds.Tabela;9;21;43%;7;55;13%
21ArvoreBinaria;ds.ArvoreBinaria;25;48;52%;24;145;17%
22TabelaHash;ds.TabelaHash;30;35;86%;47;88;53%
23TabelaHash;ds.TabelaHash;49;52;94%;73;162;45%
24Grafo;ds.Grafo;35;42;83%;63;134;47%
25Grafo;ds.Grafo;28;34;82%;36;95;38%
26Grafo;ds.Grafo;26;51;51%;25;113;22%
27Grafo;ds.Grafo;18;33;55%;20;94;21%
28BuscaEmLargura;ds.Grafo;18;33;55%;20;94;21%
29Grafo;ds.Grafo;18;33;55%;20;94;21%
30Lista;ds.AgmPrim;9;32;28%;1;71;1%
31CasamentoExato;ds.CasamentoExato;39;40;98%;84;205;41%
32CasamentoAproximado;ds.CasamentoAproximado;14;19;74%;22;88;25%
