PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;13;14;93%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;47;61;77%
05Ordenacao;ds.Ordenacao;10;10;100%;19;21;90%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;41;80%
09Ordenacao;ds.Ordenacao;15;16;94%;51;56;91%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;39;75;52%
11ListArray;ds.Lista;12;12;100%;21;29;72%
12Lista;ds.Lista;12;12;100%;15;21;71%
13Pilha;ds.Pilha;12;12;100%;21;27;78%
14Pilha;ds.Pilha;17;17;100%;22;27;81%
15Fila;ds.Fila;19;19;100%;34;40;85%
16Fila;ds.Fila;23;23;100%;22;32;69%
17Ordenacao;ds.Ordenacao;47;48;98%;129;141;91%
18FPHeapMax;ds.FPHeapMax;40;40;100%;92;116;79%
19FPHeapMin;ds.FPHeapMin;41;42;98%;77;120;64%
20Tabela;ds.Tabela;21;21;100%;46;55;84%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;82;145;57%
22TabelaHash;ds.TabelaHash;35;35;100%;57;88;65%
23TabelaHash;ds.TabelaHash;51;52;98%;113;162;70%
24Grafo;ds.Grafo;42;42;100%;98;134;73%
25Grafo;ds.Grafo;34;34;100%;67;95;71%
26Grafo;ds.Grafo;51;51;100%;92;113;81%
27Grafo;ds.Grafo;29;33;88%;38;94;40%
28BuscaEmLargura;ds.Grafo;27;33;82%;32;94;34%
29Grafo;ds.Grafo;33;33;100%;39;94;41%
30Lista;ds.AgmPrim;32;32;100%;27;71;38%
31CasamentoExato;ds.CasamentoExato;40;40;100%;117;205;57%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;88;39%
