PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4/4;100%;7/14;50%
02MaxMin;ds.MaxMin1;8/8;100%;5/21;24%
03MaxMin;ds.MaxMin2;8/8;100%;5/21;24%
04MaxMin;ds.MaxMin3;16/16;100%;8/61;13%
05Ordenacao;ds.Ordenacao;7/10;70%;7/21;33%
06Fibonacci;ds.Fibonacci;6/6;100%;12/12;100%
07Fibonacci;ds.Fibonacci;6/6;100%;12/12;100%
08MaxMin;ds.MaxMin4;13/13;100%;12/41;29%
09Ordenacao;ds.Ordenacao;16/16;100%;30/56;54%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13/14;93%;26/75;35%
11ListArray;ds.Lista;12/12;100%;25/29;86%
12Lista;ds.Lista;12/12;100%;17/21;81%
13Pilha;ds.Pilha;11/12;92%;23/27;85%
14Pilha;ds.Pilha;17/17;100%;25/27;93%
15Fila;ds.Fila;19/19;100%;36/40;90%
16Fila;ds.Fila;23/23;100%;27/32;84%
17Ordenacao;ds.Ordenacao;33/49;67%;34/141;24%
18FPHeapMax;ds.FPHeapMax;30/40;75%;46/116;40%
19FPHeapMin;ds.FPHeapMin;32/42;76%;51/120;43%
20Tabela;ds.Tabela;16/21;76%;20/55;36%
21ArvoreBinaria;ds.ArvoreBinaria;26/48;54%;27/145;19%
22TabelaHash;ds.TabelaHash;31/35;89%;58/88;66%
23TabelaHash;ds.TabelaHash;50/51;98%;119/162;73%
24Grafo;ds.Grafo;40/42;95%;83/134;62%
25Grafo;ds.Grafo;34/34;100%;88/95;93%
26Grafo;ds.Grafo;47/51;92%;59/113;52%
27Grafo;ds.Grafo;33/33;100%;86/94;91%
28BuscaEmLargura;ds.Grafo;33/33;100%;85/94;90%
29Grafo;ds.Grafo;33/33;100%;86/94;91%
30Lista;ds.AgmPrim;9/31;29%;1/71;1%
31CasamentoExato;ds.CasamentoExato;40/40;100%;126/205;61%
32CasamentoAproximado;ds.CasamentoAproximado;18/19;95%;38/88;43%
