PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed1448.AllSmart;13;0;0;13;1278
02MaxMin;ds.seed1448.AllSmart;27;0;0;27;191
03MaxMin;ds.seed1448.AllSmart;39;0;0;39;205
04MaxMin;ds.seed1448.AllSmart;67;0;0;67;233
05Ordenacao;ds.seed1448.AllSmart;19;0;0;19;198
06Fibonacci;ds.seed1448.AllSmart;15;0;0;15;9552
07Fibonacci;ds.seed1448.AllSmart;33;0;0;33;32324
08MaxMin;ds.seed1448.AllSmart;22;0;0;22;209
09Ordenacao;ds.seed1448.AllSmart;17;0;0;17;206
10AvaliaMultMatrizes;ds.seed1448.AllSmart;46;0;0;46;195
11ListArray;ds.seed1448.AllSmart;42;0;1;43;276
12Lista;ds.seed1448.AllSmart;80;0;0;80;209
13Pilha;ds.seed1448.AllSmart;81;0;0;81;207
14Pilha;ds.seed1448.AllSmart;60;1;0;61;217
15Fila;ds.seed1448.AllSmart;81;0;0;81;222
16Fila;ds.seed1448.AllSmart;111;0;0;111;242
17Ordenacao;ds.seed1448.AllSmart;67;0;0;67;264
18FPHeapMax;ds.seed1448.AllSmart;175;0;1;176;339
19FPHeapMin;ds.seed1448.AllSmart;116;0;0;116;229
20Tabela;ds.seed1448.AllSmart;9;0;0;9;222
21ArvoreBinaria;ds.seed1448.AllSmart;27;0;2;29;230
22TabelaHash;ds.seed1448.AllSmart;137;0;1;138;228
23TabelaHash;ds.seed1448.AllSmart;115;1;1;117;240
24Grafo;ds.seed1448.AllSmart;57;0;0;57;379
25Grafo;ds.seed1448.AllSmart;94;0;0;94;268
26Grafo;ds.seed1448.AllSmart;123;0;0;123;251
27Grafo;ds.seed1448.AllSmart;107;0;0;107;340
28BuscaEmLargura;ds.seed1448.AllSmart;124;0;0;124;523
29Grafo;ds.seed1448.AllSmart;145;0;0;145;366
30Lista;ds.seed1448.AllSmart;7;0;0;7;261
31CasamentoExato;ds.seed1448.AllSmart;291;0;0;291;262
32CasamentoAproximado;ds.seed1448.AllSmart;247;0;0;247;238
