PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed1448.JTExpert;3;0;0;3;8
02MaxMin;ds.seed1448.JTExpert;2;0;0;2;9
03MaxMin;ds.seed1448.JTExpert;4;0;0;4;7
04MaxMin;ds.seed1448.JTExpert;9;0;0;9;11
05Ordenacao;ds.seed1448.JTExpert;3;0;0;3;7
06Fibonacci;ds.seed1448.JTExpert;1;0;0;1;9
07Fibonacci;ds.seed1448.JTExpert;1;0;0;1;7
08MaxMin;ds.seed1448.JTExpert;5;0;0;5;13
09Ordenacao;ds.seed1448.JTExpert;3;0;0;3;12
10AvaliaMultMatrizes;ds.seed1448.JTExpert;3;0;0;3;7
11ListArray;ds.seed1448.JTExpert;3;0;1;4;181
12Lista;ds.seed1448.JTExpert;3;0;0;3;13
13Pilha;ds.seed1448.JTExpert;3;0;0;3;13
14Pilha;ds.seed1448.JTExpert;2;1;0;3;9
15Fila;ds.seed1448.JTExpert;4;0;0;4;10
16Fila;ds.seed1448.JTExpert;4;0;0;4;12
17Ordenacao;ds.seed1448.JTExpert;16;0;0;16;12
18FPHeapMax;ds.seed1448.JTExpert;12;0;0;12;11
19FPHeapMin;ds.seed1448.JTExpert;13;0;0;13;13
20Tabela;ds.seed1448.JTExpert;3;0;0;3;12
21ArvoreBinaria;ds.seed1448.JTExpert;15;0;0;15;16
22TabelaHash;ds.seed1448.JTExpert;6;0;1;7;19
23TabelaHash;ds.seed1448.JTExpert;6;1;1;8;37
24Grafo;ds.seed1448.JTExpert;8;0;0;8;65
25Grafo;ds.seed1448.JTExpert;14;0;0;14;24
26Grafo;ds.seed1448.JTExpert;14;0;0;14;29
27Grafo;ds.seed1448.JTExpert;15;0;0;15;87
28BuscaEmLargura;ds.seed1448.JTExpert;12;0;0;12;32
29Grafo;ds.seed1448.JTExpert;13;0;0;13;32
30Lista;ds.seed1448.JTExpert;1;0;0;1;16
31CasamentoExato;ds.seed1448.JTExpert;17;0;0;17;23
32CasamentoAproximado;ds.seed1448.JTExpert;3;0;0;3;10
33Identifier;ds.seed1448.JTExpert;5;0;0;5;11
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5311.JTExpert;3;0;0;3;6
02MaxMin;ds.seed5311.JTExpert;2;0;0;2;6
03MaxMin;ds.seed5311.JTExpert;4;0;0;4;7
04MaxMin;ds.seed5311.JTExpert;8;0;0;8;7
05Ordenacao;ds.seed5311.JTExpert;3;0;0;3;7
06Fibonacci;ds.seed5311.JTExpert;2;0;0;2;7
07Fibonacci;ds.seed5311.JTExpert;1;0;0;1;9
08MaxMin;ds.seed5311.JTExpert;5;0;0;5;6
09Ordenacao;ds.seed5311.JTExpert;2;0;0;2;8
10AvaliaMultMatrizes;ds.seed5311.JTExpert;3;0;0;3;7
11ListArray;ds.seed5311.JTExpert;2;0;0;2;9
12Lista;ds.seed5311.JTExpert;3;0;0;3;8
13Pilha;ds.seed5311.JTExpert;5;0;0;5;10
14Pilha;ds.seed5311.JTExpert;3;1;0;4;98
15Fila;ds.seed5311.JTExpert;4;0;0;4;12
16Fila;ds.seed5311.JTExpert;3;0;1;4;11
17Ordenacao;ds.seed5311.JTExpert;17;0;0;17;32
18FPHeapMax;ds.seed5311.JTExpert;9;1;0;10;15
19FPHeapMin;ds.seed5311.JTExpert;13;0;0;13;55
20Tabela;ds.seed5311.JTExpert;3;0;0;3;10
21ArvoreBinaria;ds.seed5311.JTExpert;12;0;0;12;11
22TabelaHash;ds.seed5311.JTExpert;6;1;0;7;34
23TabelaHash;ds.seed5311.JTExpert;10;0;1;11;49
