PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed1448.Palus;6;0;0;6;10
02MaxMin;ds.seed1448.Palus;21;0;0;21;11
03MaxMin;ds.seed1448.Palus;31;0;0;31;12
04MaxMin;ds.seed1448.Palus;50;0;0;50;19
05Ordenacao;ds.seed1448.Palus;14;0;0;14;9
06Fibonacci;ds.seed1448.Palus;12;0;0;12;1511
07Fibonacci;ds.seed1448.Palus;30;0;0;30;1455
08MaxMin;ds.seed1448.Palus;15;0;0;15;28
09Ordenacao;ds.seed1448.Palus;12;0;0;12;33
10AvaliaMultMatrizes;ds.seed1448.Palus;41;0;0;41;21
11ListArray;ds.seed1448.Palus;35;0;0;35;42
12Lista;ds.seed1448.Palus;74;0;0;74;45
13Pilha;ds.seed1448.Palus;73;0;0;73;29
14Pilha;ds.seed1448.Palus;55;0;0;55;50
15Fila;ds.seed1448.Palus;73;0;0;73;24
16Fila;ds.seed1448.Palus;104;0;0;104;42
17Ordenacao;ds.seed1448.Palus;41;0;0;41;33
18FPHeapMax;ds.seed1448.Palus;149;0;0;149;36
19FPHeapMin;ds.seed1448.Palus;92;0;0;92;28
20Tabela;ds.seed1448.Palus;1;0;0;1;12
21ArvoreBinaria;ds.seed1448.Palus;1;0;0;1;14
22TabelaHash;ds.seed1448.Palus;126;0;0;126;64
23TabelaHash;ds.seed1448.Palus;101;0;0;101;42
24Grafo;ds.seed1448.Palus;48;0;0;48;84
25Grafo;ds.seed1448.Palus;71;0;0;71;56
26Grafo;ds.seed1448.Palus;101;0;0;101;64
27Grafo;ds.seed1448.Palus;84;0;0;84;65
28BuscaEmLargura;ds.seed1448.Palus;104;0;0;104;69
29Grafo;ds.seed1448.Palus;124;0;0;124;108
30Lista;ds.seed1448.Palus;1;0;0;1;5
31CasamentoExato;ds.seed1448.Palus;263;0;0;263;62
32CasamentoAproximado;ds.seed1448.Palus;241;0;0;241;32
33Identifier;ds.seed1448.Palus;18;0;0;18;24
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5311.Palus;6;0;0;6;7
02MaxMin;ds.seed5311.Palus;29;0;0;29;13
03MaxMin;ds.seed5311.Palus;34;0;0;34;13
04MaxMin;ds.seed5311.Palus;40;0;0;40;21
05Ordenacao;ds.seed5311.Palus;37;0;0;37;14
06Fibonacci;ds.seed5311.Palus;27;0;0;27;1458
07Fibonacci;ds.seed5311.Palus;31;0;0;31;1463
08MaxMin;ds.seed5311.Palus;30;0;0;30;16
09Ordenacao;ds.seed5311.Palus;16;0;0;16;20
10AvaliaMultMatrizes;ds.seed5311.Palus;27;0;0;27;13
11ListArray;ds.seed5311.Palus;65;0;0;65;18
12Lista;ds.seed5311.Palus;51;0;0;51;19
13Pilha;ds.seed5311.Palus;85;0;0;85;28
14Pilha;ds.seed5311.Palus;87;0;0;87;28
15Fila;ds.seed5311.Palus;63;0;0;63;20
16Fila;ds.seed5311.Palus;74;0;0;74;20
17Ordenacao;ds.seed5311.Palus;39;0;0;39;16
18FPHeapMax;ds.seed5311.Palus;133;0;0;133;32
19FPHeapMin;ds.seed5311.Palus;104;0;0;104;30
20Tabela;ds.seed5311.Palus;1;0;0;1;7
21ArvoreBinaria;ds.seed5311.Palus;2;0;0;2;7
22TabelaHash;ds.seed5311.Palus;68;0;0;68;26
23TabelaHash;ds.seed5311.Palus;90;0;0;90;26
24Grafo;ds.seed5311.Palus;27;0;0;27;73
25Grafo;ds.seed5311.Palus;112;0;0;112;59
26Grafo;ds.seed5311.Palus;91;0;0;91;63
27Grafo;ds.seed5311.Palus;95;0;0;95;61
28BuscaEmLargura;ds.seed5311.Palus;127;0;0;127;70
29Grafo;ds.seed5311.Palus;119;0;0;119;62
30Lista;ds.seed5311.Palus;1;0;0;1;5
31CasamentoExato;ds.seed5311.Palus;321;0;0;321;58
32CasamentoAproximado;ds.seed5311.Palus;320;0;0;320;41
